card_id,doc_id,kind,title,span_hint
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0015_note,2603.23420v1.pdf,note,Conclusion,12
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0014_note,2603.23420v1.pdf,note,Future Work,12
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0013_note,2603.23420v1.pdf,note,Limitations,11
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0012_note,2603.23420v1.pdf,note,Level 2 Mechanisms,11
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0011_note,2603.23420v1.pdf,note,Bilevel Autoresearch,11
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0010_summary,2603.23420v1.pdf,summary,Section Overview,General
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0011_note,2603.23420v1.pdf,note,Importance of Level 2,10
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0010_question,2603.23420v1.pdf,question,Hypothesis Testing,10
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0009_example,2603.23420v1.pdf,example,Group C Results,7
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0008_theorem,2603.23420v1.pdf,theorem,TOTAL_BATCH_SIZE Reduction,9
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0007_lemma,2603.23420v1.pdf,lemma,Level 2 Mechanisms,8
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0006_definition,2603.23420v1.pdf,definition,Bilevel Autoresearch,6
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0005_summary,2603.23420v1.pdf,summary,Section Overview,General
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0005_note,2603.23420v1.pdf,note,LLM-Based Code Generation,4
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0004_example,2603.23420v1.pdf,example,Karpathy's GPT Pretraining Benchmark,2
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0003_theorem,2603.23420v1.pdf,theorem,Bilevel Optimization,3
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0002_lemma,2603.23420v1.pdf,lemma,Autoresearch Limitation,1
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0001_definition,2603.23420v1.pdf,definition,Bilevel Autoresearch,1
bff5f3ea-e7b7-4712-8a8e-da3b981d14b4_0000_summary,2603.23420v1.pdf,summary,Section Overview,General
